"EVbar","dwal","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.43944e-03,1.47000e-03,1.44084e-03,5.59170e-01,6.88195e-01,5.23348e+01,3.23466e-03,0.00000e+00,5.23173e+01,3.45658e-03,0.00000e+00,7.88786e-03,-3.21342e+00,-5.13507e+03,7.65256e-02,-3.28322e+00,-5.11488e+03,0.00000e+00,1,1.47000e-03,9.70000e-01,1.47000e-03,0.00000e+00
1.46291e-03,1.50000e-03,1.46432e-03,5.61367e-01,6.91307e-01,5.24863e+01,3.42952e-03,0.00000e+00,5.24689e+01,3.66422e-03,0.00000e+00,7.42485e-03,-3.22713e+00,-5.04773e+03,7.60742e-02,-3.29688e+00,-5.02863e+03,0.00000e+00,1,1.50000e-03,9.70000e-01,1.50000e-03,0.00000e+00
1.48638e-03,1.53000e-03,1.48780e-03,5.63076e-01,6.93540e-01,5.26383e+01,3.63786e-03,0.00000e+00,5.26210e+01,3.87839e-03,0.00000e+00,7.24829e-03,-3.24141e+00,-4.96110e+03,7.58462e-02,-3.31098e+00,-4.94306e+03,0.00000e+00,1,1.53000e-03,9.70000e-01,1.53000e-03,0.00000e+00
1.50986e-03,1.56000e-03,1.51129e-03,5.63831e-01,6.94059e-01,5.27910e+01,3.87250e-03,0.00000e+00,5.27741e+01,4.10530e-03,0.00000e+00,7.63055e-03,-3.25678e+00,-4.87589e+03,7.60540e-02,-3.32594e+00,-4.85879e+03,0.00000e+00,1,1.56000e-03,9.70000e-01,1.56000e-03,0.00000e+00
1.53334e-03,1.59000e-03,1.53478e-03,5.64587e-01,6.94578e-01,5.29438e+01,4.10714e-03,0.00000e+00,5.29272e+01,4.33220e-03,0.00000e+00,8.01281e-03,-3.27215e+00,-4.79068e+03,7.62617e-02,-3.34090e+00,-4.77453e+03,0.00000e+00,1,1.59000e-03,9.70000e-01,1.59000e-03,0.00000e+00
1.55553e-03,1.62000e-03,1.55698e-03,5.65111e-01,6.94685e-01,5.30840e+01,4.24285e-03,0.00000e+00,5.30675e+01,4.47471e-03,0.00000e+00,7.89461e-03,-3.28481e+00,-4.71881e+03,7.61349e-02,-3.35347e+00,-4.70348e+03,0.00000e+00,1,1.62000e-03,9.70000e-01,1.62000e-03,0.00000e+00
1.57704e-03,1.65000e-03,1.57849e-03,5.65675e-01,6.94832e-01,5.32174e+01,4.33670e-03,0.00000e+00,5.32010e+01,4.58231e-03,0.00000e+00,7.50993e-03,-3.29604e+00,-4.65423e+03,7.58181e-02,-3.36477e+00,-4.63965e+03,0.00000e+00,1,1.65000e-03,9.70000e-01,1.65000e-03,0.00000e+00
1.59852e-03,1.68000e-03,1.59998e-03,5.67725e-01,6.97369e-01,5.33498e+01,4.52882e-03,0.00000e+00,5.33336e+01,4.78110e-03,0.00000e+00,7.11713e-03,-3.30732e+00,-4.59143e+03,7.53874e-02,-3.37593e+00,-4.57760e+03,0.00000e+00,1,1.68000e-03,9.70000e-01,1.68000e-03,0.00000e+00
1.62000e-03,1.71000e-03,1.62148e-03,5.69776e-01,6.99906e-01,5.34822e+01,4.72094e-03,0.00000e+00,5.34661e+01,4.97989e-03,0.00000e+00,6.72434e-03,-3.31860e+00,-4.52864e+03,7.49568e-02,-3.38708e+00,-4.51555e+03,0.00000e+00,1,1.71000e-03,9.70000e-01,1.71000e-03,0.00000e+00
1.64149e-03,1.74000e-03,1.64297e-03,5.71826e-01,7.02443e-01,5.36147e+01,4.91306e-03,0.00000e+00,5.35986e+01,5.17869e-03,0.00000e+00,6.33155e-03,-3.32987e+00,-4.46584e+03,7.45261e-02,-3.39824e+00,-4.45351e+03,0.00000e+00,1,1.74000e-03,9.70000e-01,1.74000e-03,0.00000e+00
