"Cf","EVbar","Normals:0","Normals:1","Normals:2","WssX","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","Points:0","Points:1","Points:2"
1.31333e-02,1.15737e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.69375e+01,1.15750e-06,1.02994e+01,1.11777e+01,1.09559e+00,-2.13984e-03,0.00000e+00,1.09627e+00,-2.19497e-03,0.00000e+00,1.53078e-02,1.21472e-01,-2.17076e+06,1.72948e-02,1.13716e-01,-2.17025e+06,0.00000e+00,6.60601e-04,5.00000e-07,5.00000e-02
1.24562e-02,1.11066e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.50331e+01,1.11067e-06,8.30676e+00,7.88996e+00,1.04199e+00,-1.78704e-04,0.00000e+00,1.04174e+00,-1.60690e-04,0.00000e+00,-4.03924e-03,8.49774e-02,-2.10147e+06,-3.32716e-03,8.21409e-02,-2.10131e+06,0.00000e+00,7.24132e-04,5.00000e-07,-5.00000e-02
1.26402e-02,1.10688e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.55506e+01,1.10708e-06,6.27217e+00,7.13853e+00,1.05762e+00,2.12138e-03,0.00000e+00,1.05828e+00,2.10101e-03,0.00000e+00,-1.56534e-02,1.13513e-01,-2.09000e+06,-1.41768e-02,1.07875e-01,-2.08947e+06,0.00000e+00,7.24132e-04,5.00000e-07,5.00000e-02
1.19076e-02,1.11362e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.34900e+01,1.11358e-06,7.07976e+00,6.63003e+00,9.95919e-01,2.21293e-03,0.00000e+00,9.95276e-01,2.25394e-03,0.00000e+00,1.10376e-02,8.01446e-02,-2.01932e+06,1.22214e-02,7.50404e-02,-2.01920e+06,0.00000e+00,7.94132e-04,5.00000e-07,-5.00000e-02
1.20379e-02,1.11637e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.38566e+01,1.11641e-06,1.02103e+01,1.10829e+01,1.00666e+00,-2.50916e-03,0.00000e+00,1.00721e+00,-2.56751e-03,0.00000e+00,2.62051e-02,1.02668e-01,-1.99234e+06,2.74933e-02,9.62940e-02,-1.99198e+06,0.00000e+00,7.94132e-04,5.00000e-07,4.99788e-02
1.20379e-02,1.11637e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.38567e+01,1.11641e-06,1.02109e+01,1.10839e+01,1.00666e+00,-2.51016e-03,0.00000e+00,1.00721e+00,-2.56853e-03,0.00000e+00,2.62083e-02,1.02673e-01,-1.99233e+06,2.74965e-02,9.62985e-02,-1.99197e+06,0.00000e+00,7.94132e-04,5.00000e-07,5.00000e-02
1.13994e-02,1.07206e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.20608e+01,1.07214e-06,8.39848e+00,7.93880e+00,9.55779e-01,-2.02890e-04,0.00000e+00,9.55603e-01,-1.84193e-04,0.00000e+00,1.19376e-03,7.02397e-02,-1.92861e+06,1.66616e-03,6.78500e-02,-1.92859e+06,0.00000e+00,8.71345e-04,5.00000e-07,-5.00000e-02
1.20378e-02,1.11636e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.38563e+01,1.11640e-06,1.02106e+01,1.10832e+01,1.00665e+00,-2.50967e-03,0.00000e+00,1.00720e+00,-2.56803e-03,0.00000e+00,2.62030e-02,1.02666e-01,-1.99232e+06,2.74910e-02,9.62925e-02,-1.99196e+06,0.00000e+00,7.94148e-04,5.00000e-07,4.99788e-02
1.15525e-02,1.07032e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.24913e+01,1.07043e-06,5.87975e+00,6.74380e+00,9.68714e-01,1.08687e-03,0.00000e+00,9.69267e-01,1.06070e-03,0.00000e+00,-8.45116e-03,7.88362e-02,-1.91648e+06,-7.48698e-03,7.40688e-02,-1.91615e+06,0.00000e+00,8.71345e-04,5.00000e-07,5.00000e-02
1.09610e-02,1.07330e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.08279e+01,1.07329e-06,8.21399e+00,7.72362e+00,9.18958e-01,1.32320e-03,0.00000e+00,9.18483e-01,1.36214e-03,0.00000e+00,5.74868e-03,2.51516e-02,-1.85539e+06,6.51234e-03,2.08449e-02,-1.85545e+06,0.00000e+00,9.56937e-04,5.00000e-07,-5.00000e-02
1.09668e-02,1.07250e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.08442e+01,1.07275e-06,8.35538e+00,9.21346e+00,9.19486e-01,-1.11376e-03,0.00000e+00,9.19942e-01,-1.15477e-03,0.00000e+00,1.17207e-02,7.86718e-03,-1.82650e+06,1.26630e-02,2.54627e-03,-1.82637e+06,0.00000e+00,9.56937e-04,5.00000e-07,5.00000e-02
1.05078e-02,1.03644e-06,0.00000e+00,1.00000e+00,0.00000e+00,2.95532e+01,1.03635e-06,8.58674e+00,8.10207e+00,8.82900e-01,-7.53986e-04,0.00000e+00,8.82666e-01,-7.44817e-04,0.00000e+00,-3.62583e-03,1.40664e-02,-1.77546e+06,-3.13373e-03,1.17862e-02,-1.77566e+06,0.00000e+00,1.05179e-03,5.00000e-07,-5.00000e-02
1.05523e-02,1.05228e-06,0.00000e+00,1.00000e+00,0.00000e+00,2.96782e+01,1.05258e-06,8.54763e+00,9.35441e+00,8.85797e-01,7.25924e-04,0.00000e+00,8.86207e-01,6.96362e-04,0.00000e+00,-4.68464e-03,4.81589e-02,-1.75342e+06,-3.97188e-03,4.42789e-02,-1.75344e+06,0.00000e+00,1.05179e-03,5.00000e-07,5.00000e-02
1.00471e-02,1.01973e-06,0.00000e+00,1.00000e+00,0.00000e+00,2.82575e+01,1.01963e-06,7.43040e+00,6.91712e+00,8.45035e-01,8.14691e-04,0.00000e+00,8.44882e-01,8.36083e-04,0.00000e+00,4.95868e-03,2.80727e-02,-1.70222e+06,5.08335e-03,2.63075e-02,-1.70250e+06,0.00000e+00,1.15644e-03,5.00000e-07,-5.00000e-02
1.01111e-02,1.03238e-06,0.00000e+00,1.00000e+00,0.00000e+00,2.84374e+01,1.03273e-06,9.18053e+00,9.97689e+00,8.49772e-01,-5.91149e-04,0.00000e+00,8.50139e-01,-6.32064e-04,0.00000e+00,9.65431e-03,7.43367e-02,-1.68153e+06,9.77854e-03,7.10952e-02,-1.68166e+06,0.00000e+00,1.15644e-03,5.00000e-07,5.00000e-02
9.61197e-03,1.00202e-06,0.00000e+00,1.00000e+00,0.00000e+00,2.70337e+01,1.00195e-06,6.93706e+00,6.41415e+00,8.09294e-01,-1.99184e-05,0.00000e+00,8.09184e-01,-3.09149e-05,0.00000e+00,1.93439e-03,4.06412e-02,-1.63117e+06,1.92581e-03,3.91822e-02,-1.63156e+06,0.00000e+00,1.27191e-03,5.00000e-07,-5.00000e-02
9.69505e-03,1.01237e-06,0.00000e+00,1.00000e+00,0.00000e+00,2.72673e+01,1.01268e-06,9.30060e+00,1.00542e+01,8.15783e-01,4.76903e-05,0.00000e+00,8.16116e-01,8.95925e-06,0.00000e+00,-4.70363e-04,9.67908e-02,-1.61288e+06,-4.16345e-04,9.43351e-02,-1.61316e+06,0.00000e+00,1.27191e-03,5.00000e-07,5.00000e-02
9.19936e-03,9.84367e-07,0.00000e+00,1.00000e+00,0.00000e+00,2.58732e+01,9.84352e-07,6.90954e+00,6.34183e+00,7.75372e-01,3.08692e-05,0.00000e+00,7.75341e-01,3.06973e-05,0.00000e+00,-4.76138e-04,5.02720e-02,-1.56386e+06,-4.78999e-04,4.92747e-02,-1.56439e+06,-4.85381e-26,1.39977e-03,5.00000e-07,-5.00000e-02
